"","distance","height","speed"
"1",5,10,34.3
"2",5,10,68.6
"3",5,0,34.3
"4",5,0,68.6
"5",25,10,34.3
"6",25,0,34.3
"7",5,10,34.3
"8",5,10,68.6
"9",25,0,34.3
"10",25,10,68.6
"11",5,0,34.3
"12",25,10,34.3
"13",5,0,68.6
"14",5,7.5,42.875
"15",20,7.5,34.3
"16",5,2.5,60.025
"17",25,0,68.6
"18",5,10,68.6
"19",10,2.5,42.875
"20",5,10,34.3
"21",5,0,34.3
"22",10,7.5,34.3
"23",20,10,42.875
"24",25,10,34.3
"25",25,0,34.3
"26",5,7.5,60.025
"27",25,7.5,42.875
"28",25,10,68.6
"29",25,2.5,42.875
"30",10,7.5,68.6
"31",25,0,68.6
"32",10,2.5,34.3
"33",20,2.5,34.3
"34",25,0,68.6
"35",10,10,60.025
"36",5,2.5,68.6
"37",10,2.5,34.3
"38",20,2.5,68.6
"39",25,10,68.6
"40",25,2.5,60.025
"41",10,10,60.025
"42",10,0,68.6
"43",25,7.5,60.025
"44",20,0,42.875
"45",10,0,60.025
"46",20,0,60.025
"47",5,0,42.875
"48",20,7.5,68.6
"49",20,10,60.025
"50",10,10,42.875
