"","distance","height","speed"
"1",5,0,34.3
"2",20,2.5,60.025
"3",5,10,68.6
"4",15,0,42.875
"5",10,7.5,42.875
"6",5,10,34.3
"7",25,0,68.6
"8",20,2.5,51.45
"9",10,7.5,60.025
"10",20,7.5,34.3
"11",10,2.5,42.875
"12",20,2.5,60.025
"13",5,0,68.6
"14",10,7.5,60.025
"15",20,2.5,42.875
"16",20,7.5,60.025
"17",10,7.5,68.6
"18",5,2.5,60.025
"19",25,10,68.6
"20",20,7.5,42.875
"21",5,7.5,42.875
"22",10,2.5,42.875
"23",25,0,42.875
"24",25,10,34.3
"25",10,2.5,34.3
"26",10,10,60.025
"27",20,7.5,42.875
"28",25,2.5,34.3
"29",20,5,68.6
"30",20,5,34.3
"31",25,7.5,42.875
"32",25,2.5,42.875
"33",10,10,42.875
"34",5,7.5,60.025
"35",10,2.5,68.6
"36",10,2.5,60.025
"37",10,2.5,42.875
"38",20,2.5,68.6
"39",15,0,60.025
"40",10,7.5,42.875
"41",20,10,51.45
"42",5,2.5,42.875
"43",20,10,68.6
"44",25,7.5,60.025
"45",10,0,60.025
"46",25,2.5,60.025
"47",20,10,42.875
"48",10,7.5,34.3
"49",20,0,34.3
"50",20,7.5,60.025
